Loan Number,Country / Economy,Region,Loan Type,Loan Status,Board Approval Date,Original Principal Amount (US$),Cancelled Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Agreement Signing Date,Effective Date (Most Recent),Last Disbursement Date
LOAN-1460,Pakistan,Europe & Central Asia,Education,Repaying,2000-10-28,316343199.47,0.0,191997040.09,83465663.14,188996931.31,2000-05-22,2001-11-01,2013-06-17
LOAN-1461,Brazil,Africa,Climate,Disbursing,2020-11-08,106340189.99,0.0,66697719.13,47373365.29,54602878.3,2020-10-27,2021-01-11,2030-05-23
LOAN-1462,Nigeria,Africa,Health,Repaying,2017-01-28,519247952.77,0.0,215624285.62,168331281.37,278866453.2,2016-07-21,2017-04-18,2024-12-21
LOAN-1463,Tanzania,Europe & Central Asia,Investment,Disbursing&Repaying,2000-12-18,321278583.87,0.0,176424964.94,79494573.48,126419812.5,2000-10-06,2001-10-15,2008-08-15
LOAN-1464,Vietnam,East Asia,Agriculture,Disbursing&Repaying,2013-07-24,239072891.61,0.0,125657716.05,39218013.51,75053303.21,2013-03-08,2014-01-11,2015-10-09
LOAN-1465,Nigeria,East Asia,Agriculture,Effective,2010-02-12,534789241.22,0.0,534789241.22,14182240.93,249321158.13,2009-11-07,2010-10-01,2014-01-06
LOAN-1466,Kenya,East Asia,Health,Fully Repaid,2010-10-13,314827117.22,0.0,296691789.91,233031025.27,177843472.41,2010-08-25,2011-06-18,2018-08-11
LOAN-1467,Vietnam,East Asia,Infrastructure,Repaying,2006-03-12,327629081.97,0.0,185243389.66,23103347.0,149403897.08,2005-09-07,2007-04-07,2018-10-06
LOAN-1468,Morocco,East Asia,Investment,Repaying,2014-03-29,597433051.14,0.0,597433051.14,78046954.34,447938848.33,2013-10-28,2015-01-25,2017-09-18
LOAN-1469,Mexico,Africa,Infrastructure,Fully Repaid,2018-06-12,504515893.37,0.0,260541222.15,6913464.39,145812955.63,2018-02-09,2019-06-03,2025-05-28
LOAN-1470,Morocco,Latin America,Health,Effective,2010-05-11,68529002.54,0.0,37539995.52,25760047.61,34880316.47,2010-03-03,2010-10-06,2011-10-06
LOAN-1471,Ghana,South Asia,Agriculture,Disbursing&Repaying,2016-10-09,414444064.42,0.0,323797594.71,146386343.86,208686602.81,2016-06-22,2017-07-17,2028-03-21
LOAN-1472,Morocco,Latin America,Agriculture,Effective,2018-07-12,119989598.54,0.0,51089608.34,35153991.56,7350646.24,2017-12-24,2019-07-20,2023-11-24
LOAN-1473,Pakistan,South Asia,Education,Disbursing&Repaying,2014-07-29,110361530.09,0.0,110361530.09,43632168.41,56592787.94,2014-05-17,2015-04-03,2024-06-22
LOAN-1474,Brazil,Europe & Central Asia,Health,Disbursing&Repaying,2024-01-19,442522409.04,0.0,311668238.41,87768188.96,225079578.16,2023-07-29,2025-02-12,2025-09-25
LOAN-1475,Peru,South Asia,Education,Cancelled,2024-02-16,273707707.58,216310759.59,273707707.58,10448606.82,218111453.16,2024-01-27,2024-12-27,2033-08-20
LOAN-1476,Peru,South Asia,Agriculture,Effective,2020-09-10,117960952.28,0.0,88664535.83,70573230.51,74345805.48,2020-05-15,2021-03-09,2022-09-26
LOAN-1477,Peru,Latin America,Agriculture,Repaying,2024-07-05,280829477.08,0.0,257487269.72,20958620.97,119491072.93,2024-03-17,2025-03-03,2032-08-01
LOAN-1478,Egypt,South Asia,Infrastructure,Fully Repaid,2004-01-17,111432754.47,0.0,97197485.32,62339643.71,22448017.35,2003-10-17,2005-02-04,2008-07-17
LOAN-1479,Indonesia,South Asia,Health,Fully Repaid,2022-12-14,72928138.6,0.0,55390287.53,18093184.82,32297172.75,2022-10-25,2023-07-25,2036-02-12
LOAN-1480,Bangladesh,South Asia,Agriculture,Repaying,2007-04-10,462114892.65,0.0,462114892.65,235189872.09,251689839.04,2007-02-14,2008-05-08,2009-03-30
LOAN-1481,Colombia,Africa,Agriculture,Disbursing,2005-11-25,189163391.74,0.0,189163391.74,75974149.05,98334628.94,2005-11-15,2006-11-08,2012-05-25
LOAN-1482,India,East Asia,Agriculture,Fully Repaid,2010-09-02,301088426.4,0.0,240543696.48,174805294.94,152347115.12,2010-03-26,2011-09-04,2022-02-28
LOAN-1483,Egypt,East Asia,Investment,Effective,2009-04-24,267915840.09,0.0,236026689.24,1396268.02,190655850.48,2009-02-26,2009-08-07,2011-05-15
LOAN-1484,Ghana,South Asia,Investment,Effective,2003-12-07,91497777.65,0.0,38973082.51,20277049.59,45974348.31,2003-10-31,2004-08-06,2008-10-01
LOAN-1485,Mexico,Africa,Climate,Repaying,2020-06-04,368598404.85,0.0,351352015.18,188139197.08,236080158.7,2019-12-29,2021-01-04,2022-01-18
LOAN-1486,Kenya,Africa,Infrastructure,Cancelled,2002-11-29,197079001.25,95088668.31,197079001.25,145491260.55,121958692.16,2002-10-19,2003-12-19,2009-11-20
LOAN-1487,Vietnam,Europe & Central Asia,Investment,Cancelled,2023-09-23,251185956.02,123130800.5,142642550.17,26837608.45,23520661.19,2023-03-21,2024-08-27,2030-12-27
LOAN-1488,Colombia,Europe & Central Asia,Health,Repaying,2022-04-07,509439792.06,0.0,309600841.96,160258194.69,263601015.96,2021-09-23,2023-03-26,2034-04-01
LOAN-1489,Tanzania,Latin America,Education,Disbursing,2001-01-27,530779890.33,0.0,311131129.16,81341891.46,103590494.75,2000-08-10,2001-04-27,2006-07-18
LOAN-1490,Colombia,East Asia,Climate,Disbursing&Repaying,2009-01-09,32067852.83,0.0,21797162.07,15812515.07,6710308.84,2008-10-19,2009-06-18,2011-05-14
LOAN-1491,Nepal,Africa,Climate,Effective,2017-10-06,306480328.12,0.0,202013158.91,1114736.12,172970399.56,2017-05-04,2018-09-16,2019-03-28
LOAN-1492,Mexico,Latin America,Education,Disbursing,2006-02-02,201656325.1,0.0,135180213.52,81814534.17,148645372.12,2005-12-15,2007-01-19,2017-03-29
LOAN-1493,Jordan,Africa,Health,Cancelled,2013-06-05,280169694.84,177901730.51,280169694.84,233944771.2,25780294.65,2013-03-07,2014-04-15,2026-04-07
LOAN-1494,India,Latin America,Infrastructure,Disbursing,2006-09-12,348551597.1,0.0,231917670.24,191231844.52,225456104.18,2006-08-26,2007-04-03,2015-12-07
LOAN-1495,Jordan,Latin America,Climate,Effective,2014-02-08,344734076.49,0.0,245331046.32,131417139.15,240777884.4,2014-01-21,2014-07-27,2024-03-17
LOAN-1496,Kenya,East Asia,Agriculture,Cancelled,2013-07-24,526843995.91,140845822.35,367350859.53,274231722.74,145920786.97,2013-07-05,2013-12-04,2016-06-16
LOAN-1497,Egypt,Europe & Central Asia,Infrastructure,Fully Repaid,2023-06-28,19836190.9,0.0,15593835.72,7017988.26,3821615.92,2023-03-27,2023-10-09,2026-07-06
LOAN-1498,Peru,Latin America,Infrastructure,Disbursing,2000-03-08,127086330.47,0.0,54550794.42,19028920.57,88783482.91,2000-02-16,2001-03-24,2002-12-16
LOAN-1499,Vietnam,East Asia,Climate,Disbursing,2014-01-01,534065596.22,0.0,257677177.76,177684432.93,325334626.42,2013-10-30,2014-07-14,2019-04-27
LOAN-1500,Pakistan,Africa,Infrastructure,Repaying,2007-01-24,169606475.51,0.0,111146487.1,44125606.69,23446081.85,2006-12-16,2007-03-02,2020-06-08
LOAN-1501,Peru,South Asia,Health,Disbursing&Repaying,2012-09-15,127913540.85,0.0,87013763.09,24941313.6,19975953.44,2012-07-05,2013-01-10,2015-02-15
LOAN-1502,Nepal,Europe & Central Asia,Investment,Disbursing&Repaying,2002-04-06,535884647.31,0.0,446103434.65,20366212.31,38446783.93,2001-12-19,2002-06-02,2005-01-05
LOAN-1503,Colombia,East Asia,Health,Disbursing&Repaying,2019-12-31,111494880.98,0.0,97769536.69,52158151.24,75496618.27,2019-09-21,2020-07-07,2028-04-09
LOAN-1504,Pakistan,Europe & Central Asia,Investment,Disbursing,2021-01-02,51734636.42,0.0,51734636.42,35592677.4,24617511.66,2020-08-29,2021-07-09,2032-04-06
LOAN-1505,Tanzania,Latin America,Agriculture,Effective,2017-08-02,568731720.77,0.0,292883952.73,236102767.94,138508681.14,2017-01-25,2018-08-07,2025-10-25
LOAN-1506,Vietnam,East Asia,Infrastructure,Repaying,2012-08-29,295066505.88,0.0,133456267.01,13558936.73,120678974.17,2012-03-18,2013-07-19,2016-05-03
LOAN-1507,Peru,South Asia,Health,Disbursing,2013-07-20,246383159.43,0.0,239341151.51,23044523.66,115088627.71,2013-03-14,2014-03-12,2023-08-23
LOAN-1508,Philippines,Europe & Central Asia,Education,Repaying,2019-05-04,149996181.32,0.0,79080421.48,34331752.0,14931362.52,2018-11-30,2019-11-25,2032-05-15
LOAN-1509,Philippines,Latin America,Health,Fully Repaid,2005-02-16,399254292.87,0.0,184581456.85,154638086.84,191898069.66,2004-09-07,2005-11-10,2013-03-31
LOAN-1510,Jordan,South Asia,Infrastructure,Disbursing,2016-12-30,494103716.13,0.0,267280069.79,229939734.83,50500229.09,2016-08-16,2017-12-25,2019-03-13
LOAN-1511,Kenya,Latin America,Climate,Disbursing,2006-07-31,491134986.0,0.0,491134986.0,399258562.71,258877062.04,2006-06-13,2007-04-18,2019-04-26
LOAN-1512,Nepal,East Asia,Education,Effective,2013-08-29,371265438.94,0.0,281318149.79,52070727.45,262881553.45,2013-02-17,2014-03-23,2016-06-25
LOAN-1513,India,Europe & Central Asia,Investment,Effective,2024-08-14,591920880.85,0.0,428170664.78,49154046.85,160196577.63,2024-08-04,2025-09-08,2037-12-31
LOAN-1514,Ghana,South Asia,Climate,Fully Repaid,2014-04-09,517442464.59,0.0,517442464.59,109551393.92,298391689.32,2013-12-23,2014-12-02,2023-08-25
LOAN-1515,Colombia,Europe & Central Asia,Agriculture,Effective,2018-09-18,130673564.44,0.0,70397519.13,8811092.82,60967866.32,2018-06-27,2019-09-26,2022-05-08
LOAN-1516,Morocco,South Asia,Investment,Fully Repaid,2006-02-02,47688867.94,0.0,19674816.91,12772995.6,19792120.23,2005-12-19,2007-01-26,2016-03-27
LOAN-1517,Egypt,Europe & Central Asia,Infrastructure,Fully Repaid,2017-04-04,558535052.41,0.0,501898919.64,205254034.18,205593129.82,2017-01-27,2017-08-07,2027-08-09
LOAN-1518,India,Europe & Central Asia,Investment,Cancelled,2016-06-17,301403393.36,237186407.37,296801175.75,190224918.88,75934918.72,2016-01-14,2017-03-21,2025-07-19
LOAN-1519,Indonesia,Europe & Central Asia,Health,Effective,2020-11-08,291512080.67,0.0,277635467.77,35503671.55,174461202.05,2020-10-09,2021-09-01,2023-08-29
LOAN-1520,Philippines,East Asia,Health,Cancelled,2014-01-06,380244395.22,88089151.76,354003558.89,213055422.41,214098703.53,2013-10-01,2014-11-05,2015-01-29
LOAN-1521,Tanzania,East Asia,Agriculture,Effective,2012-12-21,310034550.68,0.0,240396423.36,158765753.35,113398882.24,2012-12-02,2014-01-10,2020-08-11
LOAN-1522,Nigeria,South Asia,Infrastructure,Effective,2001-03-23,379433532.11,0.0,327266304.62,168729996.4,205744006.12,2000-11-09,2001-06-03,2004-11-20
LOAN-1523,Peru,South Asia,Climate,Effective,2000-08-20,511609927.35,0.0,318364133.19,37976029.5,133391518.46,2000-07-13,2001-07-25,2005-05-16
LOAN-1524,Morocco,East Asia,Investment,Repaying,2023-08-28,225011263.83,0.0,121577971.76,85624318.13,51110613.43,2023-05-23,2023-11-09,2027-09-24
LOAN-1525,Morocco,East Asia,Agriculture,Disbursing&Repaying,2007-07-03,452892971.64,0.0,330774141.41,114067559.8,247053327.28,2007-01-27,2008-01-25,2009-07-17
LOAN-1526,Nigeria,South Asia,Education,Cancelled,2010-06-25,36251302.21,22117136.09,27957437.19,11982802.16,14761518.68,2010-03-08,2011-03-24,2017-03-11
LOAN-1527,Morocco,Europe & Central Asia,Health,Disbursing&Repaying,2014-02-28,522815252.83,0.0,214087843.78,178656364.17,202128463.5,2013-08-28,2014-04-20,2017-03-01
LOAN-1528,Jordan,Africa,Infrastructure,Effective,2012-02-16,573929275.25,0.0,427823355.21,353483834.12,398173050.83,2012-01-12,2012-07-25,2021-09-20
LOAN-1529,Egypt,Latin America,Infrastructure,Disbursing&Repaying,2008-01-26,441916506.18,0.0,384900187.93,67524239.38,133924985.7,2007-08-29,2008-03-01,2009-01-29
LOAN-1530,Kenya,South Asia,Infrastructure,Disbursing&Repaying,2012-09-15,249693016.14,0.0,204801061.12,126351932.12,78313047.12,2012-07-18,2012-11-01,2014-01-22
LOAN-1531,Kenya,South Asia,Climate,Disbursing&Repaying,2005-06-18,563410753.3,0.0,521315189.19,391983784.3,429807313.06,2005-05-09,2005-08-31,2009-03-13
LOAN-1532,Bangladesh,Europe & Central Asia,Climate,Effective,2020-12-11,482904039.18,0.0,264542024.6,26390865.29,90881209.59,2020-11-12,2021-12-03,2031-12-08
LOAN-1533,Nigeria,East Asia,Investment,Disbursing,2012-06-09,416871787.63,0.0,389384663.35,269885488.52,101300864.28,2012-02-23,2013-01-23,2020-09-20
LOAN-1534,Brazil,Africa,Agriculture,Repaying,2017-08-11,573585391.03,0.0,350880470.72,139130194.24,240212594.4,2017-02-17,2018-05-19,2020-11-11
LOAN-1535,Morocco,Europe & Central Asia,Investment,Disbursing&Repaying,2011-08-14,462380857.37,0.0,265734531.97,153861450.03,339598819.04,2011-07-27,2011-10-20,2014-01-06
LOAN-1536,Nigeria,East Asia,Infrastructure,Disbursing,2017-07-07,16165051.9,0.0,12902315.64,7581127.13,818771.7,2017-05-20,2018-07-30,2025-09-24
LOAN-1537,Bangladesh,Europe & Central Asia,Health,Fully Repaid,2003-02-22,7203733.93,0.0,6959415.85,4829079.96,2943478.6,2002-12-17,2003-03-25,2012-08-02
LOAN-1538,Tanzania,South Asia,Climate,Fully Repaid,2002-06-23,342510111.88,0.0,342510111.88,110639840.58,192277231.16,2001-12-30,2002-09-07,2011-06-28
LOAN-1539,Jordan,Africa,Education,Repaying,2001-10-06,52871786.88,0.0,40590277.92,28001498.75,28331052.44,2001-04-10,2002-02-10,2009-04-15
LOAN-1540,Bangladesh,South Asia,Agriculture,Disbursing&Repaying,2008-07-01,380217149.18,0.0,261364651.22,19962048.34,199459426.73,2008-06-12,2008-11-06,2009-11-20
LOAN-1541,Philippines,East Asia,Investment,Fully Repaid,2000-09-25,236316682.42,0.0,236316682.42,136843162.54,100378609.83,2000-06-21,2000-11-22,2009-02-16
LOAN-1542,Brazil,East Asia,Agriculture,Disbursing&Repaying,2024-01-26,75321329.69,0.0,75321329.69,45236843.96,29659865.51,2023-07-11,2024-12-17,2030-02-11
LOAN-1543,Kenya,South Asia,Agriculture,Cancelled,2002-01-20,442598535.56,274755472.08,350146681.55,6007363.74,323266959.01,2001-12-08,2002-02-26,2006-09-27
LOAN-1544,Brazil,Africa,Investment,Disbursing,2004-10-08,493339837.69,0.0,235734445.54,129678296.53,333751365.04,2004-05-24,2005-09-07,2010-07-15
LOAN-1545,Kenya,Latin America,Climate,Effective,2005-06-02,258595821.04,0.0,258595821.04,228591847.2,144502925.35,2004-12-27,2006-04-07,2009-04-27
LOAN-1546,Vietnam,Latin America,Agriculture,Repaying,2018-08-15,459715590.01,0.0,402006665.63,121387261.38,64617217.48,2018-02-08,2019-03-22,2031-11-08
LOAN-1547,Mexico,East Asia,Agriculture,Disbursing&Repaying,2016-11-14,149968542.65,0.0,129811067.09,15581714.28,96473147.08,2016-10-31,2017-08-20,2019-07-03
LOAN-1548,India,South Asia,Climate,Fully Repaid,2021-05-08,111750649.41,0.0,52669532.93,30894905.83,79922539.78,2021-03-27,2021-09-20,2025-05-19
LOAN-1549,Nigeria,Europe & Central Asia,Climate,Cancelled,2008-01-28,272999382.95,136481286.11,161452656.02,25363250.39,155269812.44,2007-12-27,2009-01-13,2015-08-26
LOAN-1550,Ghana,East Asia,Health,Disbursing,2016-03-26,7719174.56,0.0,4542820.73,480435.28,3455482.82,2015-11-08,2016-08-15,2027-06-19
LOAN-1551,Pakistan,Africa,Agriculture,Fully Repaid,2022-04-26,36576066.47,0.0,17927513.84,2407587.58,24975464.83,2022-03-07,2023-05-04,2024-02-08
LOAN-1552,Brazil,Africa,Investment,Fully Repaid,2001-12-10,174613389.41,0.0,130564946.75,39282444.42,114173628.55,2001-05-25,2002-02-04,2014-10-25
LOAN-1553,Mexico,Latin America,Health,Disbursing&Repaying,2019-12-14,472367750.76,0.0,372248988.8,38884599.63,340723289.99,2019-07-09,2020-06-27,2030-03-03
LOAN-1554,Pakistan,Africa,Education,Fully Repaid,2008-12-20,141887625.18,0.0,69256242.95,14197796.96,32327502.15,2008-10-15,2009-02-25,2020-05-09
LOAN-1555,Tanzania,South Asia,Agriculture,Fully Repaid,2016-10-02,534840862.11,0.0,275952756.73,230447706.94,209252826.01,2016-05-28,2017-11-04,2021-12-05
LOAN-1556,Ghana,Africa,Education,Repaying,2004-12-25,125315480.01,0.0,62879474.69,39173251.02,11872236.91,2004-08-20,2005-08-26,2009-08-23
LOAN-1557,Vietnam,Latin America,Health,Cancelled,2007-08-16,532413338.32,416390624.99,470072414.33,334029823.27,281380135.39,2007-06-09,2007-10-29,2017-09-04
LOAN-1558,Peru,East Asia,Climate,Disbursing,2019-03-16,518008436.62,0.0,296898650.7,126520418.76,205686743.07,2019-01-02,2019-08-19,2027-05-14
LOAN-1559,Colombia,Europe & Central Asia,Investment,Disbursing,2018-09-27,137331932.97,0.0,137331932.97,116955598.44,100982373.2,2018-09-07,2019-06-24,2030-11-13
LOAN-1560,Brazil,East Asia,Agriculture,Fully Repaid,2022-03-20,321017427.14,0.0,251490019.0,180624095.89,213787491.4,2022-02-17,2023-01-29,2023-04-25
LOAN-1561,Colombia,Latin America,Agriculture,Fully Repaid,2013-09-03,83963641.06,0.0,53453969.5,31157045.47,9911666.74,2013-02-25,2014-05-26,2027-04-15
LOAN-1562,India,East Asia,Climate,Effective,2020-10-29,280937582.29,0.0,143530766.86,90829340.97,53015535.53,2020-05-10,2020-11-28,2023-03-27
LOAN-1563,Bangladesh,Africa,Health,Cancelled,2024-05-01,320897594.54,217147311.41,204499047.04,138568392.69,184048003.6,2023-10-29,2024-07-11,2032-09-06
LOAN-1564,Brazil,Europe & Central Asia,Health,Effective,2020-11-15,567466726.72,0.0,533261179.19,426171730.7,75600702.34,2020-10-26,2021-06-20,2029-11-29
LOAN-1565,Mexico,Europe & Central Asia,Health,Effective,2010-09-14,424399827.23,0.0,360148480.36,250741839.49,65274541.85,2010-08-06,2011-09-11,2022-04-03
LOAN-1566,Pakistan,Latin America,Infrastructure,Disbursing,2002-11-04,195675970.8,0.0,195675970.8,88682184.42,71851598.89,2002-07-29,2003-07-23,2014-07-27
LOAN-1567,Peru,Europe & Central Asia,Health,Effective,2020-04-10,498588096.63,0.0,386969717.84,185247833.53,333572520.02,2019-12-28,2021-04-19,2022-07-26
LOAN-1568,Pakistan,East Asia,Agriculture,Disbursing,2004-11-26,56948706.34,0.0,40578573.04,6530335.67,43776036.55,2004-09-07,2005-02-21,2009-01-16
LOAN-1569,Tanzania,Latin America,Agriculture,Disbursing&Repaying,2024-04-14,525620918.02,0.0,429195819.21,242301889.21,141853039.31,2023-12-05,2024-11-07,2034-07-12
LOAN-1570,Egypt,South Asia,Education,Cancelled,2015-01-25,178452494.31,97653267.06,80367795.18,63057723.83,40017266.54,2014-08-01,2016-01-20,2023-03-17
LOAN-1571,Tanzania,Europe & Central Asia,Infrastructure,Cancelled,2005-12-01,401183930.78,121575691.18,330628909.98,163205651.26,157868010.68,2005-09-16,2006-04-26,2017-08-06
LOAN-1572,Ghana,Africa,Climate,Repaying,2007-03-19,463001093.59,0.0,202727412.91,64428557.01,181470918.67,2006-10-23,2007-09-11,2012-02-14
LOAN-1573,Mexico,Latin America,Infrastructure,Fully Repaid,2011-09-06,100946554.37,0.0,49820543.42,44559281.52,48544580.02,2011-07-11,2012-01-19,2025-02-11
LOAN-1574,Brazil,Africa,Investment,Cancelled,2013-07-11,586923425.01,441519241.99,304234910.18,122785007.39,458738914.17,2013-03-20,2014-04-22,2017-08-09
LOAN-1575,Egypt,Africa,Education,Disbursing&Repaying,2013-04-04,97851694.13,0.0,97851694.13,48097143.92,42130709.7,2013-01-10,2014-02-21,2017-05-17
LOAN-1576,Egypt,Africa,Infrastructure,Cancelled,2005-03-29,415042453.98,89183225.51,408946483.5,331310865.29,64152062.09,2004-10-12,2005-08-18,2016-01-24
LOAN-1577,Ghana,South Asia,Investment,Effective,2008-10-11,199188049.46,0.0,176584382.36,31014357.7,88603900.1,2008-09-10,2009-08-12,2019-08-04
LOAN-1578,Kenya,Europe & Central Asia,Education,Disbursing,2016-03-12,239682049.68,0.0,189917414.15,103097558.44,103942167.15,2016-01-25,2017-04-12,2026-08-10
LOAN-1579,Ghana,East Asia,Agriculture,Cancelled,2003-12-06,226834534.83,144428273.56,142388640.55,45026069.0,177643814.86,2003-08-05,2004-08-04,2014-09-03
LOAN-1580,Nepal,Latin America,Agriculture,Repaying,2003-11-11,484375307.14,0.0,484375307.14,184764466.17,349874756.5,2003-09-09,2004-05-14,2015-04-30
LOAN-1581,Peru,Africa,Education,Fully Repaid,2012-04-05,44338889.79,0.0,44338889.79,30172731.92,5158218.35,2012-02-11,2013-02-13,2023-06-12
LOAN-1582,Morocco,Latin America,Education,Effective,2013-08-19,115673818.78,0.0,81598119.3,40675049.59,9447622.81,2013-03-19,2014-05-13,2019-06-28
LOAN-1583,India,South Asia,Education,Disbursing,2012-11-26,96644261.94,0.0,61865425.49,35665398.51,50972176.86,2012-10-02,2013-09-03,2019-03-19
LOAN-1584,India,South Asia,Health,Effective,2021-07-21,460007421.71,0.0,365448378.92,319242106.91,229621211.26,2021-03-22,2021-12-30,2033-01-18
LOAN-1585,Indonesia,Africa,Infrastructure,Disbursing,2006-07-22,309952892.3,0.0,266624871.72,202835420.74,53353872.69,2006-03-16,2007-08-10,2010-05-31
LOAN-1586,Ghana,Latin America,Infrastructure,Disbursing,2013-01-01,36468555.39,0.0,25124309.52,14386742.96,27948307.2,2012-08-09,2013-12-24,2015-07-19
LOAN-1587,Peru,Latin America,Infrastructure,Cancelled,2014-06-21,461033250.42,320922109.65,251999851.66,21434549.74,283291737.54,2013-12-18,2014-12-22,2021-05-18
LOAN-1588,Ghana,South Asia,Education,Effective,2016-09-24,322980092.32,0.0,220047465.43,28462206.94,49322963.2,2016-06-01,2017-04-16,2021-03-17
LOAN-1589,Indonesia,Latin America,Health,Cancelled,2023-07-31,96960174.25,60845251.04,55935432.63,9485256.94,70082091.55,2023-01-23,2023-10-27,2033-10-04
LOAN-1590,Egypt,South Asia,Agriculture,Disbursing&Repaying,2016-04-06,74356562.25,0.0,37549002.53,587321.2,23136597.13,2015-12-05,2017-03-07,2028-10-25
LOAN-1591,Vietnam,Latin America,Climate,Disbursing&Repaying,2006-05-21,427387455.34,0.0,180788154.48,132538814.77,92644088.81,2006-03-14,2006-11-24,2010-01-06
LOAN-1592,Pakistan,Latin America,Education,Disbursing,2021-09-21,588760192.71,0.0,435590730.22,299129440.8,78771195.09,2021-09-01,2022-01-29,2024-12-17
LOAN-1593,Brazil,Europe & Central Asia,Investment,Effective,2000-06-17,357939822.12,0.0,277498528.74,226903989.26,29516119.36,2000-05-07,2001-05-21,2005-11-20
LOAN-1594,Pakistan,Latin America,Infrastructure,Effective,2015-08-08,404007385.48,0.0,171059673.4,22409036.16,246302500.48,2015-06-18,2016-05-20,2021-11-05
LOAN-1595,Peru,Europe & Central Asia,Infrastructure,Disbursing&Repaying,2008-08-04,45660538.14,0.0,45660538.14,31365119.95,20393323.02,2008-06-12,2009-06-05,2009-07-05
